"POINT_ID"|"sample_ID"|"X_LAEA"|"Y_LAEA"|"coarse"|"clay"|"silt"|"sand"|"pH_in_H2O"|"pH_in_CaCl"|"OC"|"CaCO3"|"N"|"P_x"|"K"|"CEC"|"Notes"|"GPS_LAT"|"GPS_LONG"|"X"|"Country"|"PTotal"|"Corine_LU"|"coords_x1"|"coords_x2"|"SURV_DATE"|"LC1"|"LC-parent"|"LC-Group"|"LC2"|"OBS_RADIUS"|"LU1"|"LU2"|"LC1_SPECIE"|"LC1_PERCEN"|"LC2_SPECIE"|"LC2_PERCEN"|"AREA_SIZE"|"TREES_HEIG"|"FEATURES_W"|"LAND_MNGT"|"WM_WATER_M"|"WM_SRC_IRR"|"WM_TYP_IRR"|"WM_DELIVER"|"SOIL_SURVE"|"SOIL_PLOUG"|"SOIL_CROP"|"SOIL_STONE"|"STRATA"|"STRATA2"|"nuts3"|"nuts0"|"area0"|"nuts1"|"area1"|"nuts2"|"area2"|"area3"|"Transect"|"CLIMANR"|"MAIN_CLIMA"|"LC"|"lc_GROUP"|"WRB_COD"|"AnnualPrec"|"WRB_LV1"|"ParMat1"|"ParMat2"|"Elevation(m)"|"slope (Degrees)"|"LONG"|"LAT"|"geom_X"|"geom_Y"
42603550|3131|4260000|3550000|2|3|11|85|6.67|5.89|13.2|0|1.2|38.3|18.8|6||55.05174|9.04592|1770|"Denmark"|1232.97|12|4260000|3550000|"24JUL2009:00:00:00"|"B51"|"B5"|"B"|"8"|1|"U111"|"8"||5||0|3|0|0|2|5|0|0|0|1|2|1|1|1|0|"DK032"|"DK"|43315|"DK0"|42853|"DK03"|12128|8645|"B51;C10;B51"|"4.3"|4|"B"|"B5"|"PZ"|896.479996681213|"Podzol"|"unconsolidated glacial deposits/glacial drift"|"glaciofluvial deposits"|13|1.2809591293335|9.04591999980818|55.0517400000011|4259999.9776474|3550000.06495102
42603574|3135|4260000|3574000|10|6|13|82|6.21|5.46|15|0|1.3|43|69.6|4.9||55.2674|9.04081|1774|"Denmark"|567.63|12|4260000|3574000|"29JUL2009:00:00:00"|"B15"|"B1"|"B"|"8"|1|"U111"|"8"||5||0|4|0|0|2|5|0|0|0|1|2|1|1|1|6|"DK032"|"DK"|43315|"DK0"|42853|"DK03"|12128|8645|"B15;E30;1;62;1;E30;B13;C10;E30;E20"|"4.3"|4|"B"|"B1"|"PZ"|896.479996681213|"Podzol"|"unconsolidated glacial deposits/glacial drift"|"glaciofluvial deposits"|30|1.21524477005005|9.04080999978169|55.2673999996103|4259999.88171688|3574000.61989872
42603610|3186|4260000|3610000|6|4|7|89|5.17|4.44|16.5|0|1.3|47.1|38.3|5.2||55.59089|9.03303|1823|"Denmark"|312.1|12|4260000|3610000|"05JUL2009:00:00:00"|"B53"|"B5"|"B"|"8"|1|"U111"|"8"|"B53K"|5||0|3|0|0|2|5|0|0|0|1|2|1|1|1|0|"DK032"|"DK"|43315|"DK0"|42853|"DK03"|12128|8645|"B53;B51"|"4.3"|4|"B"|"B5"|"PZ"|847.71000328064|"Podzol"|"unconsolidated glacial deposits/glacial drift"|"glaciofluvial deposits"|63|1.62013745307922|9.0330299998347|55.5908900003733|4260000.32328582|3610000.4758629
42603628|3198|4260000|3628000|13|3|5|92|4.59|3.48|16.6|1|1|10.9|29.6|4.2||55.75263|9.02907|1835|"Denmark"|112.31|21|4260000|3628000|"16JUL2009:00:00:00"|"D20"|"D2"|"D"|"8"|2|"U364"|"8"||5||0|3|0|0|2|8|0|0|0|1|2|1|2|1|0|"DK032"|"DK"|43315|"DK0"|42853|"DK03"|12128|8645|"D20;61;D20;10;E20;C10;B13"|"4.3"|4|"D"|"D2"|"PZ"|798.870002055168|"Podzol"|"unconsolidated glacial deposits/glacial drift"|"glaciofluvial deposits"|49|1.14576280117035|9.02906999978069|55.7526300000745|4259999.72005704|3627999.3430303
42622450|13647|4262000|2450000|10|10|22|68|6.7|6.27|9.9|0|1.2|44|273.4|6.1||45.1593|9.25083|10901|"Italy"|550.16|12|4262000|2450000|"27MAY2009:00:00:00"|"B16"|"B1"|"B"|"8"|1|"U111"|"8"||3||0|3|0|0|2|2|4|8|2|1|2|1|1|1|0|"ITC48"|"IT"|301391|"ITC"|57953|"ITC4"|23876|2971|"B16;1;31;1;B16"|"5.0999999999999996"|5|"B"|"B1"|"LV"|760.199999037385|"Luvisol"|"unconsolidated deposits (alluvium"|"fluvial clays/ silts and loams"|67|1.2809591293335|9.25083000010449|45.1592999996953|4261997.9288046|2450002.64715328
42622490|13401|4262000|2490000|9|25|52|23|6.65|6.18|29.3|2|2.7|0|73.8|16.9||45.51974|9.24599|10678|"Italy"|552.29|2|4262000|2490000|"13JUL2009:00:00:00"|"E20"|"E2"|"E"|"8"|2|"U361"|"8"||5||0|3|0|0|2|8|0|0|0|1|2|1|1|1|0|"ITC45"|"IT"|301391|"ITC"|57953|"ITC4"|23876|1983|"E20;C10;E20;13;A;24;E10"|"5.0999999999999996"|5|"E"|"E2"|"CM"|868.160000163317|"Cambisol"|"unconsolidated glacial deposits/glacial drift"|"glaciofluvial deposits"|131|0.405135601758957|9.24598999993862|45.5197400002009|4262002.73700156|2490001.05232189
42622896|1643|4262000|2896000|2|18|75|7|7.81|7.4|14.3|117|1.6|33.5|333.5|14.8||49.17452|9.19103|7597|"Germany"|2225.14|12|4262000|2896000|"08JUL2009:00:00:00"|"B22"|"B2"|"B"|"8"|1|"U111"|"8"||5||0|2|0|0|2|5|0|0|0|1|2|1|1|1|0|"DE117"|"DE"|357581|"DE1"|35797|"DE11"|10556|101|"B22;B13;23;B71;E10;23;1;61;E10;B11;E20;B13"|"4.4000000000000004"|4|"B"|"B2"|"PH"|754.470000381768|"Phaeozem"|"eolian deposits"|"loess"|176|2.29061007499695|9.19102999973472|49.1745200001979|4261999.8971307|2896040.3396126
42623040|1708|4262000|3040000|5|27|69|4|5.22|4.81|47.3|0|5.1|24.5|101.1|12.5||50.46892|9.169|7662|"Germany"|186.18|18|4262000|3040000|"19JUN2009:00:00:00"|"E20"|"E2"|"E"|"8"|2|"U111"|"8"||5||0|3|0|0|2|5|0|0|0|1|2|1|1|3|0|"DE725"|"DE"|357581|"DE7"|21113|"DE72"|5379|1461|"E20;61;11;E20"|"4.4000000000000004"|4|"E"|"E2"|"CM"|687.200000989437|"Cambisol"|"eolian deposits"|"loess"|404|1.21524477005005|9.16900000005|50.4689200001579|4262000.23438954|3040000.27344936
42623044|1707|4262000|3044000|16|24|60|15|5.9|5.38|27.2|1|2.7|21.8|64.8|17.5||50.50488|9.16841|7661|"Germany"|1993.21|18|4262000|3044000|"19JUN2009:00:00:00"|"E20"|"E2"|"E"|"8"|2|"U111"|"8"||5||0|3|0|0|2|5|0|0|0|1|2|1|1|3|0|"DE725"|"DE"|357581|"DE7"|21113|"DE72"|5379|1461|"E20;23;E10;62;31;E20"|"4.4000000000000004"|4|"E"|"E2"|"CM"|687.200000989437|"Cambisol"|"eolian deposits"|"loess"|456|0|9.16840999982168|50.504880000112|4262003.34404243|3044000.43497058
42623080|2211|4262000|3080000|5|19|73|9|6.81|6.36|14.9|1|1.7|84.6|400.6|13||50.82848|9.16261|8155|"Germany"|1900.04|12|4262000|3080000|"12JUL2009:00:00:00"|"B14"|"B1"|"B"|"8"|1|"U111"|"8"||5||0|2|0|0|2|5|0|0|0|1|2|1|1|1|0|"DE725"|"DE"|357581|"DE7"|21113|"DE72"|5379|1461|"B14;1;61;1;B11;1;61;1;B14;B32"|"4.4000000000000004"|4|"B"|"B1"|"GL"|775.200003659725|"Gleysol"|"consolidated-clastic-sedimentary rocks"|"psammite or arenite"|290|2.06493425369263|9.16261000035126|50.8284799996523|4262000.41655434|3079999.49874779
